v,T
4.00823e+03,1.00000e+00
4.00824e+03,1.00000e+00
4.00825e+03,1.00000e+00
4.00826e+03,1.00000e+00
4.00827e+03,1.00000e+00
4.00828e+03,1.00000e+00
4.00829e+03,1.00000e+00
4.00830e+03,1.00000e+00
4.00831e+03,1.00000e+00
4.00832e+03,1.00000e+00
4.00833e+03,1.00000e+00
4.00834e+03,1.00000e+00
4.00835e+03,1.00000e+00
4.00836e+03,1.00000e+00
4.00837e+03,1.00000e+00
4.00838e+03,1.00000e+00
4.00839e+03,1.00000e+00
4.00840e+03,1.00000e+00
4.00841e+03,1.00000e+00
4.00842e+03,1.00000e+00
4.00843e+03,1.00000e+00
4.00844e+03,1.00000e+00
4.00845e+03,1.00000e+00
4.00846e+03,1.00000e+00
4.00847e+03,1.00000e+00
4.00848e+03,1.00000e+00
4.00849e+03,1.00000e+00
4.00850e+03,1.00000e+00
4.00851e+03,1.00000e+00
4.00852e+03,1.00000e+00
4.00853e+03,1.00000e+00
4.00854e+03,1.00000e+00
4.00855e+03,1.00000e+00
4.00856e+03,1.00000e+00
4.00857e+03,1.00000e+00
4.00858e+03,1.00000e+00
4.00859e+03,1.00000e+00
4.00860e+03,1.00000e+00
